编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.Please enter your unique ID， which can be found in the 'FPSExp/FPSGame/ShootingGame/Test/IDConfirm.txt' file within the experiment game folder.,2.How familiar are you with FPS Games?,3.Your Gender,4.Age： Which category includes yours?,5.Please share your gaming experience with us.,6.Do you have any suggestions for our game?
62,2023/9/2 23:10,2023/9/2 23:13,158,中国,广东省,,,106.111.85.184,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3861.400 QQBrowser/10.7.4313.400",,"	19223321",C.very familiar,B.Male,C.21-29,太吵了 到处都是机器人的脚步,建议改一下机器人移动声音
61,2023/9/1 21:50,2023/9/1 21:51,88,日本,,,,114.188.124.34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,"	22293801",C.very familiar,B.Male,D.30-39,It was good but the sound was not enough and mouse velocity was so high,Sound was not enough and mouse velocity was so high
60,2023/6/13 20:59,2023/6/13 21:06,401,中国,广东省,湛江市,,183.236.187.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/103",,"	17040038",B.somewhat familiar,A.Female,B.18-20,在这个过程中其实比较容易发现，机器人多的地方往往是通向通关橙雾的必经之路，其次当出生在一楼时，通关处在二楼，反之亦然。,有一个就是不知道是不是我本身电脑问题，进入下一关之后我的页面镜头视角，通过移动鼠标是不太灵敏的转移的（有点像那种卡的样子），但是通过点击鼠标左键射击几下后再移动就很灵敏了。希望可以去看看是不是用户都有这个问题。
59,2023/6/13 16:02,2023/6/13 16:07,323,中国,广东省,湛江市,,183.236.172.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/128",,"	28861223",B.somewhat familiar,A.Female,B.18-20,It is earier to find customs clearance fog in crowded places.,If only the characters in the game were better looking and more personalized.
58,2023/6/13 15:50,2023/6/13 15:52,88,中国,广东省,湛江市,,183.236.187.210,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",,"	76767012",C.very familiar,B.Male,C.21-29,That game is so funny/,Frighting
57,2023/6/12 23:57,2023/6/13 0:05,431,中国,广东省,湛江市,,183.236.187.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/11",,"	39091025",A.unfamiliar,A.Female,B.18-20,一个问题，感觉在攻击敌人方面不灵敏，经常是互打的时候，敌人都不能掉血，明明这个距离是完全可以掉血的，却好像默认距离过远一样，但是就是没有掉，就这样失败了好几次。。,目前没有
56,2023/6/12 23:22,2023/6/12 23:29,397,中国,广东省,湛江市,,183.236.187.212,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43",,"	13424325",C.very familiar,A.Female,B.18-20,玩的过程中十分有趣，在找通关迷雾的时候，走出来的机器人很让心头一惊,我感觉墙壁可以再弄点有标志性的设计，在玩的过程中，有点玩得晕头转向，不知道自己身在何处，经常不知道自己走到哪去了，在同一个地方兜来兜去。
55,2023/6/12 21:15,2023/6/12 21:27,742,中国,广东省,湛江市,,58.252.133.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43",,"	47607395",C.very familiar,B.Male,B.18-20,游戏在过了操作教程后就直接进入主题，教程中也未告知击中地方何种部位会不会有不同的伤害之类的提示。敌方的枪法准度一直是个谜，有时候贴脸掉的也不快，有时候站的很远2秒不到打三分之二的血量。终点的设计较为不合理，有时候运气好甚至一个人都不用打死就可以溜到刷的离自己出生点很近的终点，这让击杀敌人没了意义。敌方的位置比较随机，虽然有让音效凸显出隐藏的敌人，但是音效比较。。。糟糕。一些场景模型存在空气墙，敌我双方都打不到但是看得到人以及无法穿过(比如二楼侧倒的一张桌子和一些窗口)。,加入更多动作，像是蹲下潜行。加入换弹动作以及换弹时间。加入瞄准动作以及瞄准效果，而不是单纯的画面放大。可以适当减少备弹量，改成可以在击杀敌方后夺取敌方尸体的武器获得弹药。
54,2023/6/12 15:34,2023/6/12 15:43,561,中国,广东省,湛江市,,183.236.187.215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43",,"	86859375",C.very familiar,A.Female,B.18-20,the model is too big to through sometimes.So far that i can't attrack them. It have a little problem but  i think it is very good overally,the game color scheme is too dark，the environment is a little too one-dimensional
53,2023/6/11 19:46,2023/6/11 19:49,201,中国,广东省,湛江市,,183.236.187.208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/103",,"	51604338",B.somewhat familiar,B.Male,B.18-20,Usually use 'A' and 'D' when we meet ampties.,Alter map with ampties for player.
52,2023/6/11 18:22,2023/6/11 18:25,164,中国,广东省,湛江市,,183.236.187.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",,"	88129440",B.somewhat familiar,B.Male,C.21-29,无需将敌人全部消灭，直接寻找终点即可,地图样式较为简单，希望可以增加切换第一视角
51,2023/6/9 21:12,2023/6/9 21:15,165,中国,广东省,湛江市,,183.236.187.208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/103",,"	65001",B.somewhat familiar,A.Female,B.18-20,That's excitinng!,In my opinion，should decrease sensitivity.
50,2023/6/7 18:41,2023/6/7 19:10,1734,中国,广东省,湛江市,,183.236.187.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.37",,"	65834870",A.unfamiliar,A.Female,B.18-20,happy，devoted，irritative,do well
49,2023/6/6 20:10,2023/6/6 20:13,156,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",,"	75127381",C.very familiar,A.Female,C.21-29,High difficulty of the game.,Image quality can be improved.
48,2023/6/6 15:58,2023/6/6 16:04,391,中国,广东省,湛江市,,183.236.187.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.37",,"	54356516",A.unfamiliar,A.Female,B.18-20,没看见假人就被打死了，有时候还打不着假人，感觉被假人花式打死...,玩到一半关掉再玩会在通关卡住无法进入下一关，得重新安装才能运行得下去，就又得从教学玩起
47,2023/6/6 14:53,2023/6/6 14:55,86,中国,广东省,湛江市,,183.236.187.212,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.5359.95 Safari/537.36",,"	25758045",B.somewhat familiar,B.Male,B.18-20,LOL Diamond,yea
46,2023/6/5 1:44,2023/6/5 1:46,102,中国,广东省,湛江市,,183.236.187.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57",,"	6268100",A.unfamiliar,A.Female,B.18-20,一开始觉得太难了，后来慢慢觉得有规律简单了,可以更加美化界面，还是很好玩的
45,2023/6/4 15:13,2023/6/4 15:15,88,中国,广东省,湛江市,,183.236.187.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57",,"	62628100",A.unfamiliar,A.Female,B.18-20,太难了对我来说，我死了好多次,可以继续优化界面，更加好看
44,2023/6/4 8:30,2023/6/4 8:31,46,中国,广东省,湛江市,,183.236.187.214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.37",,"	40",B.somewhat familiar,D.Other,B.18-20,一般般,建议容易一点
43,2023/6/2 20:44,2023/6/2 20:47,207,中国,广东省,湛江市,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36 Core/1.94.198.400 QQBrowser/11.8.5295.400",,"	13577646",C.very familiar,A.Female,C.21-29,一般般,瞄准点对不准 音效跟不上 还剩两滴血就死了 换子弹没有特效 按shift无法蹲下 R9处理器玩着也小小卡顿 画面不好看 有延迟 可以不打npc就通关 直接找烟雾
42,2023/6/1 20:38,2023/6/1 20:46,424,中国,广东省,湛江市,,183.236.187.208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57",,"	89929555",C.very familiar,C.Prefer not to say,B.18-20,In the game， I couldn't accurately shoot enemies from a distance， so I got through the level by getting close and killing them at close range,Improve the shooting feel， change the sound of walking to real
41,2023/6/1 17:45,2023/6/1 17:51,347,中国,广东省,湛江市,,183.236.187.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57",,"	69937185",B.somewhat familiar,B.Male,B.18-20,有点卡，换弹的动作很直接，躲子弹根本上不可能，可能对一些人比较难，如果有一些游戏指引就更好了.,动作上可以进行优化，加上一些游戏的指引，多一些的道具选择，不可以回血游戏难度增大
40,2023/5/30 16:06,2023/5/30 16:09,188,中国,广东省,湛江市,,183.236.187.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57",,"	71",C.very familiar,B.Male,C.21-29,说的好听点：进步空间很大，说的难听点：粗制滥造。2g的游戏给出的是这种品质，很失望,尽快完善
39,2023/5/6 17:48,2023/5/6 17:53,299,中国,广东省,湛江市,,58.252.133.135,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.68",,"	89283466",C.very familiar,B.Male,C.21-29,这个游戏不像一个成品，操作非常简单，缺乏打击感，不知道敌人攻击方向，脚步声单一。AI反应过于快速。AI没有巡逻方向。如果这是游戏，那不合格。如果是关于某种实验，那也合理。,脚步声应该随机变调。操作方式多样化。AI更加贴近人类反应，然后适当让他们变蠢，玩家才有体验。
38,2023/4/24 18:46,2023/4/24 18:49,140,中国,广东省,湛江市,,183.236.187.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.0.0",,"	36222520",B.somewhat familiar,B.Male,C.21-29,一般，我的电脑配置一般，玩起来体验不是很好。帧率很低，肉眼的卡顿。其余的机制和其它射击通关游戏没有感觉出太大的区别。,游戏画质可以再优化一下
37,2023/4/24 16:57,2023/4/24 17:02,287,中国,广东省,湛江市,,183.236.187.204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58",,"	31703591",B.somewhat familiar,B.Male,C.21-29,进入游戏的第一关，大红木都跳不过去无法进行下一关,红木是否可以去掉，感觉没啥用处，没有下蹲姿势
36,2023/4/21 19:54,2023/4/21 19:59,307,中国,广东省,湛江市,,183.236.187.219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	69360192",B.somewhat familiar,B.Male,C.21-29,这个游戏玩起来来说还是比较容易的，操作也比较简单，地图也比较单调，玩法也比较少,可以增加一些新的玩法和新的地图，游戏有一些bug，比如角色死亡后可以进行短时间的射击，如果敌人与玩家距离太近，那么当地人死亡后会直接消失，而没有倒下动画
35,2023/4/21 13:01,2023/4/21 13:02,80,中国,广东省,湛江市,,183.236.187.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	49189094",C.very familiar,B.Male,C.21-29,不错,无
34,2023/4/21 1:26,2023/4/21 1:30,230,中国,广东省,湛江市,,120.237.236.134,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	10158234",B.somewhat familiar,B.Male,C.21-29,很容易迷路，方向感很差,添加色彩，射击距离优化
33,2023/4/20 23:11,2023/4/20 23:13,124,中国,广东省,湛江市,,183.236.187.200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	51173997",C.very familiar,B.Male,B.18-20,有点太单调,可以尝试换弹的动作加上
32,2023/4/20 22:44,2023/4/20 22:47,179,中国,广东省,湛江市,,183.236.187.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	62230021",B.somewhat familiar,B.Male,C.21-29,游戏第一次玩有神秘感，但是任务太简单,游戏可以多怎加一些任务。以及多一点刺激，惊喜
31,2023/4/20 22:35,2023/4/20 22:37,110,中国,广东省,湛江市,,183.236.187.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	25055258",B.somewhat familiar,B.Male,B.18-20,反馈感一般，UI界面简单，引导较差,推出难度选择适合一些
30,2023/4/20 22:29,2023/4/20 22:32,173,中国,广东省,湛江市,,183.236.187.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	31270375",B.somewhat familiar,B.Male,B.18-20,一般般，没有很大的惊喜,增加下蹲，静步，开镜等功能
29,2023/4/20 21:31,2023/4/20 22:03,1931,中国,广东省,湛江市,,183.236.172.194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	55113541",B.somewhat familiar,B.Male,B.18-20,我觉得这次的游戏体验很一般，毕竟如今的射击游戏相同类型的有很多，I think this game experience is very average， after all， there are many shooters of the same genre today,游戏缺少打击感，没有自动换弹，没有地图显示，还需要优化。The game lacks a sense of blow， no automatic reloading， no map display， and needs to be optimized.
28,2023/4/20 21:02,2023/4/20 21:26,1425,中国,广东省,湛江市,,58.252.133.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	82776025",B.somewhat familiar,B.Male,C.21-29,My experience with the game was not great. The randomness of the enemy generation is too great. I don’t know where the enemies will be produced. Sometimes there are more and sometimes less. You can only pass the level by luck. The reaction speed of the enemy is too fast， and every time the player encounters the enemy facing the player， it is too late to dodge. If this happens every time， if you are not lucky， you will not be able to pass the level.我对游戏的体验并不好。 敌代的随机性太大了。 我不知道敌人会在哪里产生。 有时多，有时少。 你只能靠运气通过关卡。 敌人的反应速度太快了，玩家每次遇到面对自己的敌人，都来不及躲闪。 如果每次都出现这种情况，运气不好的话是过不了关的。,There is still a lot of room for optimization in this game:1. The randomness of enemy production is too large， it will become a game of luck.2. The enemy reacts too quickly. Every time the player encounters an enemy facing the player， he will be hit before he has time to avoid it. He can only pass the game by luck.3. The enemy will not be refreshed every time the player dies.4. There is no reloading action when the firearm is reloaded， and the reloading is completed in an instant， and there is no reloading time.5. There is no feedback when the bullet hits the enemy， and there is no feedback when the bullet hits the enemy.6. When the player dies， it can still be operated during the time of the death prompt; the enemy's attack does not stop when the player dies， or the enemy's attack may stop， but the sound effect is still there.7. When the enemy is attacking， there is no action performance， making it difficult for the player to judge whether the enemy is attacking.这个游戏还有很多可以优化的地方：1、敌人生产的随机性太大，会变成一个运气游戏。2、敌人反应太快，每次玩家遇到面向玩家的敌人没来得及躲避就已经被打到，只能凭运气通关游戏。3、每次玩家死亡后，敌人不会刷新。4、枪械装弹时没有填弹动作，填弹在一瞬间完成，没有填弹时间。5、子弹打到敌人没有受击反馈，敌人的子弹打到自己也没有受击反馈。6、玩家死亡时，在死亡提示的时间里仍然可以操作；敌人的攻击在玩家死亡时没有停止，也可能是敌人攻击停止了，但是音效还在。7、敌人在攻击时，没有动作表现，让玩家难以判断敌人是否在攻击。
27,2023/4/19 14:28,2023/4/19 14:41,765,中国,广东省,湛江市,,183.236.187.211,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	75192372",B.somewhat familiar,B.Male,B.18-20,The robot reacted so fast that it didn't even see it and started shooting me，The shooting accuracy is not enough， it is too floating， and the angle of view of the right mouse button is also unfriendlymy teacher is yi Xia,1，The sense of blow does not work 2，Can't see the bullet change， so you can shoot all the time， if I keep pressing the R key，3，Add some tactical moves such as squatting and left and right probes
26,2023/4/19 10:41,2023/4/19 10:56,890,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	37256123",B.somewhat familiar,B.Male,C.21-29,声效有延迟，准心不准，抠掉吧；突击步枪的设置吧，冲锋枪的水准；换弹没动作，太快了，不够真实；看上去是射击游戏，其实更像是找出口；AI不会追击目标，不会走位；但是总体还算流畅，声效也还行，但是可能对运行内存的要求比较大；画面感还行，就是看起来有点像我的世界的感觉；结束点设置得太固定了，容易找到，地图也是固定的，没有变化；AI还会打到自己人，是真的笑死，但也真实；有时候还剩两滴血就噶了，这不怎么好吧。,首先，要把地图弄大点，然后再加个小地图也行，显示玩家位置；结束点最好是随机设置在不同地方刷新，不一定一定要在房子外面，房子里面的某个房间也行，最好是在去结束点的必经之路上加上多点的AI防御；AI设置走位，别打到自己人；武器最好设置种类；要么把准心做好点，要么把准心抠掉，瞄准了子弹也打不准没意思的哈；换弹最好是有动作，真实点；地图建模好看真实点，不要看起来像‘我的世界’一样；AI都有蹲下动作了，玩家也整一个。
25,2023/4/19 0:13,2023/4/19 0:18,309,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.3162 SLBChan/103",,"	18189548",C.very familiar,A.Female,C.21-29,可能地图限制，打多了会累，而且地图原因，有些地方敌人会多。,血量出现负数，还有音效与画面对不上，容易卡。
24,2023/4/18 23:52,2023/4/19 0:04,727,中国,广东省,湛江市,,183.236.187.207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	75409955",B.somewhat familiar,A.Female,B.18-20,游戏操作并不难，很多细节部分就很折磨，比如敌人血量不显示，命中的光标显示也很小，游戏音效很大，我带耳机只能开8%已经很响。找到的时候进橙色烟雾就会卡一下，点击画面才恢复正常（也可能是自己加载好就不卡了），通关之后点击下一关还可以继续，又玩了两关才退出。中途卡死过一次，重新进游戏之后存档还在。,感觉双方血量可以优化，游戏音效可以小一点，而且敌人的行动音效没有，很容易没注意位置被打死，受伤血量减小也可以增加音效；卡机的问题感觉也需要优化，进入下一关就会卡一下；瞄准感觉可以高亮一下能瞄准到敌人，命中的提示可以更明显。
23,2023/4/18 23:41,2023/4/18 23:53,703,中国,广东省,湛江市,,183.236.187.210,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",,"	13226832",C.very familiar,A.Female,B.18-20,流程很短，很多关卡重复，并且敌人的反应太过灵敏。,第一，敌人的脚步几乎听不见，全程只听得到自己的脚步，可以将敌人移动时的音效强化一下。第二，敌人的反应太过灵敏，可以延长敌人的攻击判定时间，使游戏更合理。第三，烟雾出现的位置并不随机，只出现在几个固定的地点。人物在一楼重生，则烟雾在二楼，人物在二楼重生则与此相反。太容易找到规律的游戏，关卡太过相似，让人玩起来很疲惫。
